time;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2024-01-25 10:20:00;128845.0;128850.0;128910.0;128665.0;346340;92042
2024-01-25 10:30:00;128855.0;129090.0;129230.0;128460.0;753301;203474
2024-01-25 10:40:00;129095.0;128930.0;129160.0;128920.0;418617;107105
2024-01-25 10:50:00;128930.0;128850.0;128960.0;128745.0;384342;101921
2024-01-25 11:00:00;128845.0;128700.0;128940.0;128690.0;359365;94519
2024-01-25 11:10:00;128700.0;128770.0;128865.0;128650.0;347498;91957
2024-01-25 11:20:00;128770.0;128820.0;128905.0;128750.0;233416;62437
2024-01-25 11:30:00;128815.0;128805.0;128925.0;128620.0;491084;135382
2024-01-25 11:40:00;128805.0;128780.0;128850.0;128630.0;340298;91257
2024-01-25 11:50:00;128785.0;129255.0;129265.0;128750.0;510522;132924
2024-01-25 12:00:00;129260.0;129030.0;129315.0;128880.0;493007;128314
2024-01-25 12:10:00;129035.0;128950.0;129070.0;128815.0;329733;86676
2024-01-25 12:20:00;128950.0;128975.0;129050.0;128840.0;277607;73876
2024-01-25 12:30:00;128970.0;128805.0;128990.0;128570.0;423822;109210
2024-01-25 12:40:00;128810.0;128800.0;129065.0;128785.0;310650;82055
2024-01-25 12:50:00;128800.0;128770.0;128840.0;128720.0;205841;54280
2024-01-26 10:00:00;128795.0;128715.0;128860.0;128685.0;365643;105209
2024-01-26 10:10:00;128720.0;128820.0;128835.0;128605.0;304511;89262
2024-01-26 10:20:00;128825.0;128685.0;128850.0;128665.0;216766;65137
2024-01-26 10:30:00;128680.0;128600.0;128895.0;128370.0;727392;213397
2024-01-26 10:40:00;128600.0;128960.0;129015.0;128530.0;662506;177674
2024-01-26 10:50:00;128960.0;128780.0;129075.0;128780.0;475548;131248
2024-01-26 11:00:00;128780.0;128590.0;128820.0;128410.0;560039;154312
2024-01-26 11:10:00;128590.0;128835.0;128885.0;128510.0;477358;127487
2024-01-26 11:20:00;128835.0;129320.0;129330.0;128800.0;512850;134462
2024-01-26 11:30:00;129320.0;129485.0;129520.0;129195.0;626429;164675
2024-01-26 11:40:00;129490.0;129250.0;129510.0;129240.0;400047;107534
2024-01-26 11:50:00;129250.0;129110.0;129275.0;129030.0;363697;97230
2024-01-26 12:00:00;129105.0;128900.0;129105.0;128735.0;425163;116649
2024-01-26 12:10:00;128905.0;128995.0;129040.0;128870.0;297073;80593
2024-01-26 12:20:00;128990.0;129180.0;129200.0;128945.0;306301;78093
2024-01-26 12:30:00;129175.0;129285.0;129320.0;129060.0;262090;69534
2024-01-26 12:40:00;129280.0;129365.0;129535.0;129280.0;282944;75477
2024-01-26 12:50:00;129365.0;129060.0;129385.0;129010.0;264353;70326
2024-01-29 10:00:00;129235.0;129065.0;129290.0;129025.0;382565;99180
2024-01-29 10:10:00;129065.0;129000.0;129110.0;128955.0;358050;94032
2024-01-29 10:20:00;129005.0;129145.0;129255.0;128955.0;425068;117065
2024-01-29 10:30:00;129140.0;129420.0;129435.0;129100.0;430100;118272
2024-01-29 10:40:00;129420.0;129395.0;129525.0;129345.0;418658;117614
2024-01-29 10:50:00;129395.0;129395.0;129580.0;129345.0;366006;104053
2024-01-29 11:00:00;129390.0;129440.0;129455.0;129250.0;364568;104317
2024-01-29 11:10:00;129445.0;129260.0;129470.0;129170.0;482018;139250
2024-01-29 11:20:00;129255.0;128965.0;129305.0;128935.0;499912;138674
2024-01-29 11:30:00;128970.0;128685.0;129030.0;128635.0;676222;172579
2024-01-29 11:40:00;128680.0;128690.0;128730.0;128565.0;325239;86702
2024-01-29 11:50:00;128695.0;128810.0;128850.0;128670.0;277401;78281
