<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.08	11:54:00	158705	158730	158640	158685	11972	43187	5
2025.12.08	11:55:00	158685	158720	158535	158625	18759	65809	5
2025.12.08	11:56:00	158620	158760	158615	158690	15090	49266	5
2025.12.08	11:57:00	158690	158735	158630	158645	8970	30947	5
2025.12.08	11:58:00	158645	158670	158605	158620	8394	28595	5
2025.12.08	11:59:00	158625	158665	158605	158625	5237	17523	5
2025.12.08	12:00:00	158630	158690	158565	158565	18690	67862	5
2025.12.08	12:01:00	158565	158655	158540	158635	12411	44619	5
2025.12.08	12:02:00	158630	158655	158520	158550	10729	39696	5
2025.12.08	12:03:00	158555	158630	158540	158585	9089	31577	5
2025.12.08	12:04:00	158590	158620	158570	158590	5037	16894	5
2025.12.08	12:05:00	158595	158620	158530	158585	9509	31527	5
2025.12.08	12:06:00	158585	158595	158510	158580	10627	35185	5
2025.12.08	12:07:00	158580	158610	158505	158510	9689	31917	5
2025.12.08	12:08:00	158505	158555	158430	158445	18082	59067	5
2025.12.08	12:09:00	158445	158480	158410	158410	12031	41722	5
2025.12.08	12:10:00	158410	158480	158380	158440	15297	52676	5
2025.12.08	12:11:00	158435	158465	158375	158410	9826	34338	5
2025.12.08	12:12:00	158410	158450	158365	158410	8048	25000	5
2025.12.08	12:13:00	158415	158450	158370	158410	8987	33758	5
2025.12.08	12:14:00	158410	158425	158355	158385	7783	24386	5
2025.12.08	12:15:00	158390	158515	158380	158420	19101	64181	5
2025.12.08	12:16:00	158420	158460	158310	158330	17368	63394	5
2025.12.08	12:17:00	158325	158410	158310	158400	10379	36285	5
2025.12.08	12:18:00	158400	158415	158270	158285	14090	48952	5
2025.12.08	12:19:00	158285	158350	158250	158305	15042	59294	5
2025.12.08	12:20:00	158305	158365	158290	158345	8517	30620	5
2025.12.08	12:21:00	158345	158385	158275	158325	9237	34461	5
2025.12.08	12:22:00	158330	158445	158325	158410	14534	54728	5
2025.12.08	12:23:00	158410	158420	158290	158325	10372	38831	5
2025.12.08	12:24:00	158325	158390	158300	158390	6551	23003	5
2025.12.08	12:25:00	158390	158470	158365	158415	14845	55823	5
2025.12.08	12:26:00	158415	158415	158270	158300	14553	57312	5
2025.12.08	12:27:00	158300	158360	158295	158355	7272	28124	5
2025.12.08	12:28:00	158355	158385	158330	158365	6765	24336	5
2025.12.08	12:29:00	158365	158365	158285	158305	7208	26474	5
2025.12.08	12:30:00	158305	158365	158285	158360	7265	24142	5
2025.12.08	12:31:00	158355	158380	158310	158330	6872	25367	5
2025.12.08	12:32:00	158325	158340	158220	158235	15830	54911	5
2025.12.08	12:33:00	158240	158325	158220	158290	10666	41298	5
2025.12.08	12:34:00	158295	158300	158245	158255	6344	23529	5
2025.12.08	12:35:00	158250	158285	158190	158235	10499	37655	5
2025.12.08	12:36:00	158240	158240	158110	158135	17137	64902	5
2025.12.08	12:37:00	158130	158205	158120	158200	7972	29887	5
2025.12.08	12:38:00	158200	158355	158185	158325	19182	72053	5
2025.12.08	12:39:00	158325	158335	158230	158305	11921	49186	5
2025.12.08	12:40:00	158310	158345	158260	158275	9200	36203	5
2025.12.08	12:41:00	158270	158280	158155	158155	12738	47041	5
2025.12.08	12:42:00	158160	158230	158150	158210	8140	31077	5
2025.12.08	12:43:00	158210	158305	158195	158280	10086	38526	5
2025.12.08	12:44:00	158280	158315	158260	158315	6091	22262	5
2025.12.08	12:45:00	158310	158345	158280	158335	7689	29020	5
2025.12.08	12:46:00	158335	158360	158230	158245	14869	54630	5
2025.12.08	12:47:00	158240	158300	158235	158255	5659	21843	5
2025.12.08	12:48:00	158260	158315	158215	158305	7603	27013	5
2025.12.08	12:49:00	158305	158355	158260	158335	8681	31458	5
2025.12.08	12:50:00	158340	158355	158265	158330	7780	30328	5
2025.12.08	12:51:00	158330	158460	158325	158445	17765	57148	5
2025.12.08	12:52:00	158440	158480	158415	158430	12169	40714	5
2025.12.08	12:53:00	158425	158495	158390	158490	9419	34112	5
2025.12.08	12:54:00	158485	158510	158425	158475	8999	31935	5
2025.12.08	12:55:00	158475	158505	158405	158495	8844	32496	5
2025.12.08	12:56:00	158495	158505	158375	158435	10774	38949	5
2025.12.08	12:57:00	158435	158475	158395	158430	8033	29913	5
2025.12.08	12:58:00	158430	158495	158415	158425	6182	22579	5
2025.12.08	12:59:00	158425	158435	158380	158430	5826	19042	5
2025.12.08	13:00:00	158425	158525	158410	158485	11410	38561	5
2025.12.08	13:01:00	158480	158525	158475	158485	7164	26673	5
2025.12.08	13:02:00	158485	158520	158380	158405	11836	40526	5
2025.12.08	13:03:00	158400	158460	158355	158415	10511	35653	5
2025.12.08	13:04:00	158420	158420	158365	158370	4794	16851	5
2025.12.08	13:05:00	158370	158490	158370	158490	9156	31860	5
2025.12.08	13:06:00	158485	158505	158440	158455	5584	18747	5
2025.12.08	13:07:00	158455	158475	158430	158460	3715	12848	5
2025.12.08	13:08:00	158460	158500	158430	158470	5432	20836	5
