<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.24	10:30:00	120125	120310	119215	119540	693426	2081178	5
2022.10.24	11:00:00	119540	119565	118870	119140	477319	1534661	5
2022.10.24	11:30:00	119140	119435	118900	119365	401175	1378687	5
2022.10.24	12:00:00	119365	119460	119015	119185	318959	1100489	5
2022.10.24	12:30:00	119185	119250	118700	118855	293344	1015045	5
2022.10.24	13:00:00	118855	118950	118680	118755	204035	691266	5
2022.10.24	13:30:00	118750	118800	118310	118390	276433	1046942	5
2022.10.24	14:00:00	118390	118430	117665	117800	326072	1312715	5
2022.10.24	14:30:00	117800	118145	117775	118000	254552	972510	5
2022.10.24	15:00:00	118000	118240	117900	118075	228170	878238	5
2022.10.24	15:30:00	118075	118145	117680	117740	247452	925809	5
2022.10.24	16:00:00	117740	118000	117705	117980	200309	722936	5
2022.10.24	16:30:00	117975	118280	117830	117935	231746	827002	5
2022.10.24	17:00:00	117940	118140	117855	117925	119127	417986	5
2022.10.24	17:30:00	117930	118080	117765	118050	95290	325242	5
2022.10.25	09:00:00	118020	118675	117680	118090	356303	932967	5
2022.10.25	09:30:00	118090	118095	117320	117525	401971	1187595	5
2022.10.25	10:00:00	117520	117690	116640	116920	570995	1715524	5
2022.10.25	10:30:00	116915	117375	116470	117350	489672	1507338	5
2022.10.25	11:00:00	117350	117975	117135	117820	438323	1361196	5
2022.10.25	11:30:00	117815	117830	117330	117480	291290	926498	5
2022.10.25	12:00:00	117480	117995	117470	117735	260847	861338	5
2022.10.25	12:30:00	117730	117975	117600	117720	198036	632206	5
2022.10.25	13:00:00	117720	118080	117560	117590	191050	626563	5
2022.10.25	13:30:00	117585	117695	117150	117260	225728	753344	5
2022.10.25	14:00:00	117255	117380	117060	117350	216525	710837	5
2022.10.25	14:30:00	117350	117460	117160	117180	187389	635734	5
2022.10.25	15:00:00	117175	117295	116890	117155	224643	826247	5
2022.10.25	15:30:00	117155	117170	116750	116780	157563	559506	5
2022.10.25	16:00:00	116780	116960	116615	116870	193791	712603	5
2022.10.25	16:30:00	116870	116975	116290	116345	206134	778219	5
2022.10.25	17:00:00	116345	116400	116180	116260	147976	495281	5
2022.10.25	17:30:00	116265	116295	116040	116150	82183	282520	5
2022.10.26	09:00:00	116395	116830	116200	116405	403869	1076025	5
2022.10.26	09:30:00	116405	116470	114975	115175	472116	1373620	5
2022.10.26	10:00:00	115175	115245	114640	114870	440201	1258715	5
2022.10.26	10:30:00	114870	115615	114845	114895	557780	1651517	5
2022.10.26	11:00:00	114890	115600	114885	115400	485853	1385118	5
2022.10.26	11:30:00	115395	115435	114930	115050	329320	997352	5
2022.10.26	12:00:00	115050	115545	115045	115490	268313	866446	5
2022.10.26	12:30:00	115490	116015	115445	115825	280218	900545	5
2022.10.26	13:00:00	115825	116000	115615	115815	202996	620617	5
2022.10.26	13:30:00	115815	116175	115065	115105	294544	961384	5
2022.10.26	14:00:00	115105	115400	115020	115210	252842	775780	5
2022.10.26	14:30:00	115215	115625	115105	115545	221124	704355	5
2022.10.26	15:00:00	115550	115590	115000	115025	251206	811871	5
2022.10.26	15:30:00	115030	115075	114525	114615	269825	930693	5
2022.10.26	16:00:00	114610	114620	114240	114305	265982	922261	5
2022.10.26	16:30:00	114305	114670	114305	114445	197471	694937	5
2022.10.26	17:00:00	114450	114520	114195	114415	165911	526692	5
