"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.03.26	11:00:00	114125	114278	113710	113751	115829	387853	1"
"2018.03.26	12:00:00	113744	113931	113323	113610	122614	401745	1"
"2018.03.26	13:00:00	113610	113624	113029	113316	96634	305673	1"
"2018.03.26	14:00:00	113323	113724	113310	113617	86200	275685	1"
"2018.03.26	15:00:00	113617	113931	113544	113737	94823	306573	1"
"2018.03.26	16:00:00	113731	114178	113657	114158	79503	265694	1"
"2018.03.26	17:00:00	114165	114692	114078	114499	40677	137500	1"
"2018.03.27	09:00:00	114873	115013	114292	114405	80854	223116	1"
"2018.03.27	10:00:00	114405	114439	113650	113831	138892	421638	1"
"2018.03.27	11:00:00	113831	113837	113283	113657	119004	397500	1"
"2018.03.27	12:00:00	113657	114111	113450	114078	82750	290390	1"
"2018.03.27	13:00:00	114085	114131	113510	113924	87761	306312	1"
"2018.03.27	14:00:00	113924	114051	113343	113477	117080	390735	1"
"2018.03.27	15:00:00	113477	113490	112742	112775	125800	442274	1"
"2018.03.27	16:00:00	112782	112842	111961	112108	139629	520786	1"
"2018.03.27	17:00:00	112114	112361	111907	111967	38898	145778	1"
"2018.03.28	09:00:00	111900	112508	111500	111513	97075	332725	1"
"2018.03.28	10:00:00	111506	112141	111052	111687	174830	632391	1"
"2018.03.28	11:00:00	111700	112021	111119	111333	167983	613505	1"
"2018.03.28	12:00:00	111333	111687	111226	111493	93195	349692	1"
"2018.03.28	13:00:00	111493	111987	111466	111526	78898	294821	1"
"2018.03.28	14:00:00	111526	112201	111333	111947	104701	396979	1"
"2018.03.28	15:00:00	111947	112335	111734	112221	83236	328569	1"
"2018.03.28	16:00:00	112214	112522	111754	112341	99561	420997	1"
"2018.03.28	17:00:00	112348	112662	112301	112388	20093	81106	1"
"2018.03.29	09:00:00	112949	113076	112628	112702	70780	237527	1"
"2018.03.29	10:00:00	112702	113390	112655	113283	107206	358337	1"
"2018.03.29	11:00:00	113290	113871	113196	113824	91048	341928	1"
"2018.03.29	12:00:00	113817	114105	113690	114098	73743	281952	1"
"2018.03.29	13:00:00	114098	114445	113898	114338	61306	236624	1"
"2018.03.29	14:00:00	114338	114792	114145	114632	75200	309229	1"
"2018.03.29	15:00:00	114632	114879	114505	114699	68826	282855	1"
"2018.03.29	16:00:00	114699	114933	114532	114612	69576	304552	1"
"2018.03.29	17:00:00	114605	114619	114265	114612	33744	160815	1"
"2018.04.02	09:00:00	114091	114272	113911	114178	45083	142487	1"
"2018.04.02	10:00:00	114178	114692	113757	114532	122213	441009	1"
"2018.04.02	11:00:00	114525	114826	113931	113964	125905	470467	1"
"2018.04.02	12:00:00	113964	114071	113503	113804	103648	406154	1"
"2018.04.02	13:00:00	113804	113991	113403	113904	83422	321755	1"
"2018.04.02	14:00:00	113904	114044	113263	113270	89841	352520	1"
"2018.04.02	15:00:00	113263	113323	112702	112956	102611	435177	1"
"2018.04.02	16:00:00	112949	113517	112769	113450	88655	369378	1"
"2018.04.02	17:00:00	113457	113537	113203	113530	29413	126169	1"
"2018.04.03	09:00:00	113931	114245	113757	114198	59858	200293	1"
"2018.04.03	10:00:00	114198	114459	113857	114018	120780	434189	1"
"2018.04.03	11:00:00	114024	114258	113383	114198	137564	540300	1"
"2018.04.03	12:00:00	114205	114278	113751	113817	85682	355162	1"
"2018.04.03	13:00:00	113817	114131	113644	113951	70947	286121	1"
"2018.04.03	14:00:00	113951	114038	113036	113143	98576	393352	1"
"2018.04.03	15:00:00	113143	113203	112729	113003	103202	431677	1"
"2018.04.03	16:00:00	112996	113437	112795	113176	105213	449321	1"
"2018.04.03	17:00:00	113183	113477	112889	112889	42405	201624	1"
"2018.04.04	09:00:00	111647	111653	111219	111353	70630	249556	1"
"2018.04.04	10:00:00	111353	111560	110792	111132	136571	512702	1"
"2018.04.04	11:00:00	111139	111774	110832	111740	117953	447373	1"
"2018.04.04	12:00:00	111740	112522	111640	112341	104596	411722	1"
"2018.04.04	13:00:00	112348	112649	111900	112047	86427	339508	1"
"2018.04.04	14:00:00	112047	112702	111794	112475	105423	401967	1"
"2018.04.04	15:00:00	112482	112802	112168	112555	97047	393424	1"
"2018.04.04	16:00:00	112548	113076	112328	112936	73696	285518	1"
"2018.04.04	17:00:00	112936	113517	112755	113517	37233	149841	1"
"2018.04.05	09:00:00	115414	115708	115100	115207	77641	264012	1"
"2018.04.05	10:00:00	115207	115394	114445	114986	126057	453493	1"
"2018.04.05	11:00:00	114986	115140	114258	114739	128336	476262	1"
"2018.04.05	12:00:00	114746	115193	114706	114879	80717	329951	1"
"2018.04.05	13:00:00	114873	114926	114519	114632	44766	188801	1"
"2018.04.05	14:00:00	114632	114739	113958	114024	77145	315035	1"
"2018.04.05	15:00:00	114038	114265	113764	114218	76182	327462	1"
"2018.04.05	16:00:00	114211	114412	113871	114085	62763	277822	1"
"2018.04.05	17:00:00	114091	114205	113771	114064	20920	94052	1"
"2018.04.06	09:00:00	113497	113904	113210	113684	103015	342963	1"
"2018.04.06	10:00:00	113684	114011	113116	113784	146550	498914	1"
"2018.04.06	11:00:00	113784	113857	112154	112448	155859	609621	1"
"2018.04.06	12:00:00	112448	113156	112161	113063	90479	359575	1"
"2018.04.06	13:00:00	113063	113129	112649	113083	73111	288659	1"
"2018.04.06	14:00:00	113076	113330	112515	112575	90389	339371	1"
"2018.04.06	15:00:00	112568	113230	112428	112508	102776	377931	1"
"2018.04.06	16:00:00	112502	113463	112301	113330	105408	394598	1"
"2018.04.06	17:00:00	113330	113544	113210	113410	32159	128138	1"
"2018.04.09	09:00:00	114171	114171	113597	113717	63380	199637	1"
"2018.04.09	10:00:00	113717	113857	112628	112702	133967	515588	1"
"2018.04.09	11:00:00	112702	112982	112528	112876	92051	346646	1"
"2018.04.09	12:00:00	112876	113023	112395	112428	72620	276772	1"
"2018.04.09	13:00:00	112421	112468	111640	111767	87960	339242	1"
"2018.04.09	14:00:00	111774	111927	111506	111807	65431	245591	1"
"2018.04.09	15:00:00	111800	112388	111667	112234	82235	323489	1"
"2018.04.09	16:00:00	112234	112288	111152	111286	93163	373833	1"
"2018.04.09	17:00:00	111279	111640	111159	111400	34512	154032	1"
"2018.04.10	09:00:00	112108	112435	111727	112254	103660	340336	1"
"2018.04.10	10:00:00	112254	112575	111466	111740	158723	537494	1"
"2018.04.10	11:00:00	111754	112495	111573	112288	123631	442157	1"
"2018.04.10	12:00:00	112281	112795	112275	112695	91576	348890	1"
"2018.04.10	13:00:00	112689	112729	111954	112027	95204	360331	1"
"2018.04.10	14:00:00	112021	112689	111914	112655	80954	299769	1"
"2018.04.10	15:00:00	112655	112916	112495	112909	81580	303700	1"
"2018.04.10	16:00:00	112909	113143	112809	113123	65006	249958	1"
"2018.04.10	17:00:00	113123	113290	112982	113290	25270	93443	1"
"2018.04.11	09:00:00	112722	112969	112415	112882	71427	225921	1"
"2018.04.11	10:00:00	112882	113837	112795	113797	134270	440344	1"
"2018.04.11	11:00:00	113797	114198	113697	113951	95296	348017	1"
"2018.04.11	12:00:00	113958	114138	113851	114071	54339	206331	1"
"2018.04.11	13:00:00	114071	114318	113744	114038	80705	302813	1"
"2018.04.11	14:00:00	114031	114251	113884	114011	58645	229520	1"
"2018.04.11	15:00:00	114018	114165	113710	114051	76649	329026	1"
"2018.04.11	16:00:00	114044	114111	113751	113871	51585	227820	1"
"2018.04.11	17:00:00	113864	114432	113824	114432	28550	118402	1"
"2018.04.12	09:00:00	114619	114746	114191	114218	61978	206134	1"
"2018.04.12	10:00:00	114218	114532	113831	114098	142464	519238	1"
"2018.04.12	11:00:00	114098	114439	113644	113684	102775	418073	1"
"2018.04.12	12:00:00	113677	114111	113624	113938	60015	244964	1"
"2018.04.12	13:00:00	113931	114312	113837	114285	44717	179674	1"
"2018.04.12	14:00:00	114278	114312	113804	113958	67674	273935	1"
"2018.04.12	15:00:00	113951	114165	113884	114044	42253	170122	1"
"2018.04.12	16:00:00	114051	114338	113844	114158	60748	251887	1"
"2018.04.12	17:00:00	114151	114365	114125	114125	20069	86392	1"
"2018.04.13	09:00:00	114345	114499	113644	113710	85460	266777	1"
"2018.04.13	10:00:00	113704	113924	113009	113103	123751	405515	1"
"2018.04.13	11:00:00	113103	113183	112308	112568	128336	455256	1"
"2018.04.13	12:00:00	112562	112909	112408	112889	69536	242329	1"
"2018.04.13	13:00:00	112889	112969	112689	112795	51414	178572	1"
"2018.04.13	14:00:00	112802	113049	112595	112655	65474	241714	1"
"2018.04.13	15:00:00	112655	112822	112488	112702	58045	217434	1"
"2018.04.13	16:00:00	112702	112715	112508	112575	57475	216349	1"
"2018.04.13	17:00:00	112568	112649	112295	112335	25540	99453	1"
"2018.04.16	09:00:00	112495	112809	111927	112662	92168	306626	1"
"2018.04.16	10:00:00	112669	113103	111720	111800	157286	547718	1"
"2018.04.16	11:00:00	111800	112001	111166	111400	124985	430105	1"
"2018.04.16	12:00:00	111406	111513	111039	111366	68954	245965	1"
"2018.04.16	13:00:00	111359	111587	111253	111473	53458	181816	1"
