datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-17 09:35:00;144970;144890;145100;144885;225205;74403;Compra
2025-10-17 09:40:00;144890;144740;144895;144705;234072;74419;Compra
2025-10-17 09:45:00;144740;144640;144740;144525;262094;80926;Compra
2025-10-17 09:50:00;144635;144505;144680;144495;154736;51172;Compra
2025-10-17 09:55:00;144500;144335;144505;144225;289798;88813;Compra
2025-10-17 10:00:00;144330;144370;144450;144235;234254;72245;Compra
2025-10-17 10:05:00;144365;144465;144550;144340;202943;60610;Compra
2025-10-17 10:10:00;144460;144240;144480;144180;293753;95163;Compra
2025-10-17 10:15:00;144245;144255;144375;144175;232801;71700;Compra
2025-10-17 10:20:00;144250;144280;144310;144080;284671;87047;Compra
2025-10-17 10:25:00;144280;144540;144615;144270;347347;102044;Compra
2025-10-17 10:30:00;144540;144915;144985;144435;510849;151740;Compra
2025-10-17 10:35:00;144915;145385;145430;144865;467919;134936;Compra
2025-10-17 10:40:00;145385;145510;145580;145195;490998;143068;Compra
2025-10-17 10:45:00;145510;145670;145740;145365;424150;124385;Compra
2025-10-17 10:50:00;145670;145715;145815;145650;285504;77253;Compra
2025-10-17 10:55:00;145720;145790;145870;145700;214783;58853;Compra
2025-10-17 11:00:00;145790;145580;145795;145550;301493;91181;Compra
2025-10-17 11:05:00;145585;145645;145765;145530;207893;64176;Compra
2025-10-17 11:10:00;145645;145870;146030;145620;338097;96938;Compra
2025-10-17 11:15:00;145875;145780;145950;145710;203270;59325;Compra
2025-10-17 11:20:00;145780;145890;145920;145670;211465;63984;Compra
2025-10-17 11:25:00;145885;145905;146145;145860;304900;82456;Compra
2025-10-17 11:30:00;145905;145805;145940;145785;169835;50581;Compra
2025-10-17 11:35:00;145800;145930;145975;145710;194486;55346;Compra
2025-10-17 11:40:00;145930;146030;146125;145860;201014;57152;Compra
2025-10-17 11:45:00;146030;146110;146180;146000;188552;54032;Compra
2025-10-17 11:50:00;146110;146035;146235;146020;190174;56631;Compra
2025-10-17 11:55:00;146035;145945;146065;145920;123344;36576;Compra
2025-10-20 09:00:00;146320;146585;146810;146250;353970;147001;Compra
2025-10-20 09:05:00;146585;146485;146630;146350;300678;112739;Compra
2025-10-20 09:10:00;146485;146510;146605;146370;206533;72514;Compra
2025-10-20 09:15:00;146505;146730;146780;146460;289816;102418;Compra
2025-10-20 09:20:00;146730;146725;146870;146675;246300;87466;Compra
2025-10-20 09:25:00;146730;146760;146815;146680;154494;53174;Compra
2025-10-20 09:30:00;146760;146635;146925;146600;348301;119772;Compra
2025-10-20 09:35:00;146640;146590;146765;146550;248966;85538;Compra
2025-10-20 09:40:00;146590;146660;146790;146585;199086;69953;Compra
2025-10-20 09:45:00;146660;146655;146820;146645;177955;60843;Compra
2025-10-20 09:50:00;146660;146580;146680;146510;210981;72617;Compra
2025-10-20 09:55:00;146575;146505;146580;146415;226097;75796;Compra
2025-10-20 10:00:00;146505;146850;146945;146495;507190;171647;Compra
2025-10-20 10:05:00;146845;146585;146870;146540;258879;87818;Compra
2025-10-20 10:10:00;146590;146720;146785;146530;256534;83340;Compra
2025-10-20 10:15:00;146715;146550;146715;146305;493732;164891;Compra
2025-10-20 10:20:00;146550;146685;146745;146525;275344;88686;Compra
2025-10-20 10:25:00;146685;146725;146890;146665;284725;92624;Compra
2025-10-20 10:30:00;146725;146565;146765;146520;364762;118948;Compra
2025-10-20 10:35:00;146565;146755;146845;146550;305802;99077;Compra
2025-10-20 10:40:00;146755;146890;147170;146755;473948;151821;Compra
2025-10-20 10:45:00;146885;146790;146935;146690;282005;93934;Compra
2025-10-20 10:50:00;146785;147190;147220;146780;354863;113471;Compra
2025-10-20 10:55:00;147190;147150;147265;147095;265198;82972;Compra
2025-10-20 11:00:00;147155;147485;147550;147150;404657;119896;Compra
2025-10-20 11:05:00;147490;147455;147535;147300;223251;72608;Compra
2025-10-20 11:10:00;147450;147395;147540;147360;186848;58480;Compra
2025-10-20 11:15:00;147395;147395;147585;147385;234429;71700;Compra
2025-10-20 11:20:00;147395;147500;147615;147395;200797;61189;Compra
2025-10-20 11:25:00;147495;147540;147635;147490;177319;51899;Compra
2025-10-20 11:30:00;147540;147445;147560;147370;205221;62043;Compra
2025-10-20 11:35:00;147450;147590;147600;147410;156354;48420;Compra
2025-10-20 11:40:00;147590;147595;147665;147490;194579;59654;Compra
2025-10-20 11:45:00;147595;147645;147660;147550;131813;37030;Compra
2025-10-20 11:50:00;147645;147540;147650;147520;105156;31790;Compra
2025-10-20 11:55:00;147545;147555;147615;147520;80178;24994;Compra
2025-10-21 09:00:00;147100;146880;147285;146830;326186;132951;Lateral
2025-10-21 09:05:00;146880;147250;147315;146845;272207;94574;Lateral
2025-10-21 09:10:00;147250;147390;147395;147170;263028;90744;Lateral
2025-10-21 09:15:00;147390;147450;147495;147360;265112;87932;Lateral
2025-10-21 09:20:00;147445;147560;147650;147445;223496;75185;Lateral
2025-10-21 09:25:00;147555;147550;147640;147495;149035;51741;Lateral
